run_index,session,patient,model,label,folds,mean_bal_acc,std_bal_acc
20260628_154526,260527,sub2_yjkim,shallownet,0,5,0.7975000023841858,0.06149188283041849
20260628_154526,260527,sub2_yjkim,shallownet,1_vs_3,5,0.8300000071525574,0.057008766550054345
20260628_154526,260527,sub2_yjkim,shallownet,2,5,0.7699999928474426,0.07426724174870414
20260628_155326,260528,sub2_yjkim,shallownet,0,5,0.5906465530395508,0.026445929556634315
20260628_155326,260528,sub2_yjkim,shallownet,1_vs_3,5,0.686163854598999,0.05412355142233962
20260628_155326,260528,sub2_yjkim,shallownet,2,5,0.6080395936965942,0.06860720827688542
20260628_160032,260601,sub2_yjkim,shallownet,0,5,0.8375000119209289,0.08160979496473493
20260628_160032,260601,sub2_yjkim,shallownet,1_vs_3,5,0.899999988079071,0.03952845190346557
20260628_160032,260601,sub2_yjkim,shallownet,2,5,0.86875,0.05340001433918166
20260628_161624,260602,sub2_yjkim,shallownet,0,5,0.6640625,0.06606068173940532
20260628_161624,260602,sub2_yjkim,shallownet,1_vs_3,5,0.81875,0.07126096406869613
20260628_161624,260602,sub2_yjkim,shallownet,2,5,0.825,0.08297448779594846
20260628_162916,260623,sub2_yjkim,shallownet,0,5,0.7787499904632569,0.04388374092719359
20260628_162916,260623,sub2_yjkim,shallownet,1_vs_3,5,0.8899999976158142,0.022360681774202182
20260628_162916,260623,sub2_yjkim,shallownet,2,5,0.7899999856948853,0.03791438822486479
