Session,Label,EEGNet,ShallowNet
260408,0,0.514 ± 0.120,0.578 ± 0.071
260408,1 vs. 3,0.600 ± 0.092,0.600 ± 0.129
260408,2,0.568 ± 0.035,0.483 ± 0.069
260422,0,0.489 ± 0.079,0.501 ± 0.030
260422,1 vs. 3,0.440 ± 0.049,0.500 ± 0.068
260422,2,0.557 ± 0.029,0.528 ± 0.040
260506,0,0.504 ± 0.019,0.464 ± 0.057
260506,1 vs. 3,0.570 ± 0.094,0.535 ± 0.076
260506,2,0.456 ± 0.046,0.513 ± 0.038
260520,0,0.522 ± 0.079,0.536 ± 0.068
260520,1 vs. 3,0.490 ± 0.132,0.480 ± 0.069
260520,2,0.569 ± 0.075,0.510 ± 0.041
260602,0,0.559 ± 0.061,0.529 ± 0.078
260602,1 vs. 3,0.525 ± 0.061,0.465 ± 0.052
260602,2,0.544 ± 0.079,0.493 ± 0.062
260617,0,0.506 ± 0.049,0.520 ± 0.089
260617,1 vs. 3,0.490 ± 0.113,0.480 ± 0.065
260617,2,0.495 ± 0.075,0.509 ± 0.059
