Session,Label,EEGNet,ShallowNet
260408,0,0.498 ± 0.030,0.580 ± 0.030
260408,1 vs. 3,0.530 ± 0.060,0.635 ± 0.045
260408,2,0.465 ± 0.052,0.513 ± 0.055
260422,0,0.488 ± 0.071,0.485 ± 0.065
260422,1 vs. 3,0.495 ± 0.128,0.500 ± 0.153
260422,2,0.511 ± 0.041,0.530 ± 0.039
260506,0,0.527 ± 0.056,0.537 ± 0.090
260506,1 vs. 3,0.495 ± 0.060,0.530 ± 0.069
260506,2,0.478 ± 0.032,0.507 ± 0.064
260520,0,0.454 ± 0.044,0.516 ± 0.038
260520,1 vs. 3,0.475 ± 0.090,0.510 ± 0.091
260520,2,0.516 ± 0.051,0.546 ± 0.059
260602,0,0.544 ± 0.057,0.570 ± 0.046
260602,1 vs. 3,0.490 ± 0.088,0.525 ± 0.116
260602,2,0.476 ± 0.052,0.510 ± 0.076
260617,0,0.465 ± 0.034,0.498 ± 0.102
260617,1 vs. 3,0.550 ± 0.102,0.475 ± 0.053
260617,2,0.534 ± 0.057,0.554 ± 0.031
