Session,Label,EEGNet,ShallowNet
260527,0,0.855 ± 0.075,0.798 ± 0.061
260527,1 vs. 3,0.870 ± 0.045,0.830 ± 0.057
260527,2,0.838 ± 0.063,0.770 ± 0.074
260528,0,0.662 ± 0.080,0.591 ± 0.026
260528,1 vs. 3,0.628 ± 0.064,0.686 ± 0.054
260528,2,0.646 ± 0.124,0.608 ± 0.069
260601,0,0.909 ± 0.013,0.838 ± 0.082
260601,1 vs. 3,0.850 ± 0.064,0.900 ± 0.040
260601,2,0.911 ± 0.030,0.869 ± 0.053
260602,0,0.856 ± 0.049,0.664 ± 0.066
260602,1 vs. 3,0.900 ± 0.014,0.819 ± 0.071
260602,2,0.897 ± 0.040,0.825 ± 0.083
260623,0,0.896 ± 0.051,0.779 ± 0.044
260623,1 vs. 3,0.905 ± 0.033,0.890 ± 0.022
260623,2,0.894 ± 0.038,0.790 ± 0.038
